"height","width","days","years","TOTALN","TOTALP","lossSAV","lossFP","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","numbFPspecies","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","halfsatBSAV","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatPSAV","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","lightlimitation","shadingbyFP","lightattenuation","wind_avg","wind_std","prob_up","prob_down","prob_left","prob_right","wind_direction","lightlimitation_FP","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV"
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,200,0,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.06315673137521e-12,4.86743325643358e-11,NA,1,1,98.6094524147492,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,200,0,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.364745568697e-12,5.04949142365698e-11,NA,1,1,98.6094524147055,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,200,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.9610369266606e-12,5.40945074020877e-11,NA,1,1,98.6094524145936,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,200,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.91562072206792e-09,5.38203463600722e-08,NA,1,1,98.6094519158295,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,200,100,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,9.53888876238939e-12,5.75827879058921e-11,NA,1,1,98.6094524144893,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,200,100,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0.142857142857143,0.142857142857143,1.63502666322982e-08,9.87005886243398e-08,NA,1,1,98.6094514408843,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,50,1,50,0,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.12856170810617e-12,4.90691585233025e-11,NA,1,1,98.6094524148068,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,50,1,50,0,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.72576443477041e-12,5.26742532888393e-11,NA,1,1,98.6094524146875,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,50,1,50,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,3.45918446389177e-09,2.08818333322114e-08,NA,1,1,98.6094522384149,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,50,1,50,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.9532435773373e-09,5.40474617971468e-08,NA,1,1,98.609451928544,100,4
