"height","width","area","shape","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_up","prob_down","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV"
60,60,3600,"square",1,1,125,7,0.1,0.025,4,1,1,100,1,1,100,36,36,0,0,0,3600,3600,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.10127131811509e-13,2.47578771844684e-12,NA,1,0.857142857142857,99.9180184098473,100,1
60,60,3600,"square",1,1,125,7,0.1,0.025,4,1,1,100,1,1,100,36,36,0,0,0,3600,3600,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.4,0.091,0.24,0.25,0.25,0.25,0.25,"all",600,0,0,4.1029480878322e-13,2.47679992309031e-12,NA,1,0.857142857142857,99.9180183882838,100,1
60,60,3600,"square",1,1,125,7,0.1,0.025,4,1,1,100,1,1,100,36,36,0,0,0,3600,3600,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.17722583087234e-13,2.52163868397903e-12,NA,1,0.857142857142857,99.9180183869714,100,1
60,60,3600,"square",1,1,125,7,0.1,0.025,4,1,1,100,1,1,100,36,36,0,0,0,3600,3600,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.7,0.1,0.1,0.1,"up",600,0,0,4.1000486398282e-13,2.47504963221661e-12,NA,1,0.857142857142857,99.9180183078785,100,1
60,60,3600,"square",1,1,125,7,0.1,0.025,4,1,1,100,1,1,100,36,36,0,0,0,3600,3600,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.4,0.091,0.24,0.7,0.1,0.1,0.1,"up",600,0,0,4.10407281369725e-13,2.47747887902062e-12,NA,1,0.857142857142857,99.9180184032415,100,1
60,60,3600,"square",1,1,125,7,0.1,0.025,4,1,1,100,1,1,100,36,36,0,0,0,3600,3600,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.7,0.1,0.1,0.1,"up",600,0,0,4.35207864107461e-13,2.62719093996423e-12,NA,1,0.857142857142857,99.9180181971085,100,1
40,10,400,"rect",4,1,125,7,0.1,0.025,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.0792881428993e-13,2.46251727838321e-12,NA,1,0.857142857142857,99.918018176563,100,1
40,10,400,"rect",4,1,125,7,0.1,0.025,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.4,0.091,0.24,0.25,0.25,0.25,0.25,"all",600,0,0,4.14856120528555e-13,2.50433489632951e-12,NA,1,0.857142857142857,99.9180183495471,100,1
40,10,400,"rect",4,1,125,7,0.1,0.025,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.28802709572007e-13,2.58852536116293e-12,NA,1,0.857142857142857,99.9180182588828,100,1
40,10,400,"rect",4,1,125,7,0.1,0.025,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,1,1,100,1,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.7,0.1,0.1,0.1,"up",600,0,0,4.13540969247859e-13,2.49639580833437e-12,NA,1,0.857142857142857,99.9180183432972,100,1
