"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04","final_FP01_yr04","final_FP02_yr04","final_FP03_yr04","final_FP04_yr04"
117,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,30,30,100,5,5,100,3000,500,0,0,0,300000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,8.91444027961051e-11,6.11782137607554e-10,NA,1,1,99.933084488722,100,1,91.998097872807,99.9309855491803,99.9330836146161,99.933084488722,5.18355085974657,0.00211269047277537,4.34020182172953e-07,8.91444027961051e-11,3.43488075326344e-13,NA,NA,NA
118,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.23880149834197e-10,2.22273170483235e-09,NA,1,1,99.9330844878604,100,1,85.8397816464634,99.9243664786828,99.9330809909717,99.9330844878604,14.3198583181473,0.00767091828981545,1.57688528780233e-06,3.23880149834197e-10,1.24796359410784e-12,NA,NA,NA
119,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,8.9500182772302e-10,6.14223792214871e-09,NA,1,1,99.9330844861466,100,1,78.5676719884823,99.9136454459214,99.9330760693301,99.9330844861466,30.3048517632719,0.0211917925792605,4.35752195955264e-06,8.9500182772302e-10,3.44858954255488e-12,NA,NA,NA
120,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0.25,2.0449620657849e-08,1.40342099849855e-07,NA,0.75,0.75,99.9330844299411,100,1,44.866384425584,99.1611301055747,99.9329170302537,99.9330844299411,68.5123981835213,0.463412936153409,9.95627685327985e-05,2.0449620657849e-08,7.87957588189181e-11,NA,NA,NA
121,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.01520556614215e-11,6.96717473982521e-11,NA,1,1,99.9330844889601,100,1,95.2210235609134,99.9325017424141,99.9330842993686,99.9330844889601,0.617726463846679,0.000240608306862086,4.94276360461505e-08,1.01520556614215e-11,3.91175435622157e-14,NA,NA,NA
122,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,6.3656537498496e-11,4.36863463794173e-10,NA,1,1,99.9330844887976,100,1,93.8309205781286,99.9314568763325,99.933083830773,99.9330844887976,3.98409258434446,0.00150876165767691,3.0992660715107e-07,6.3656537498496e-11,2.45279129831868e-13,NA,NA,NA
123,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.09326993679269e-10,1.43657382447165e-09,NA,1,1,99.9330844882844,100,1,90.499163408359,99.9276457005155,99.9330822848279,99.9330844882844,9.69946852289894,0.00495827666327872,1.01915688223818e-06,2.09326993679269e-10,8.06571404587994e-13,NA,NA,NA
124,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,4.95191497629902e-10,3.39841093173445e-09,NA,1,1,99.9330844874667,100,1,86.9860176490215,99.9228395042828,99.9330799747976,99.9330844874667,21.239859675879,0.0117301466214508,2.41095405411011e-06,4.95191497629902e-10,1.90805445002754e-12,NA,NA,NA
125,100,100,5,5,"rectangle",10000,"large",1,1,150,4,5,1.25,4,45,45,100,45,45,100,4500,4500,0,0,0,450000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.5384135421577e-09,1.74206794243689e-08,NA,1,0.75,99.933084480997,100,1,72.0874819037944,99.8675706418719,99.9330610744677,99.933084480997,45.264686034776,0.060019556907942,1.235883930201e-05,2.5384135421577e-09,9.78092572260041e-12,NA,NA,NA
126,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.89154338988782e-09,2.69154113247316e-08,NA,0.75,0.75,99.9330844723807,100,1,55.9319246622061,99.5724909428861,99.9330310291576,99.9330844723807,9.64468742177366,0.0709725779655653,1.71904035360432e-05,3.89154338988782e-09,1.51117894168939e-11,NA,NA,NA
127,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.7644325051669,100,1,0,0,0.00095967918176405,0.00286561108036886,NA,15.2839677559049,12.1478779717299,0.447546410758533,0.00095967918176405,74.1275826405272,94.0835198860639,99.1976623460786,99.7644325051669,100,NA,NA,NA
128,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.8784636254067,100,1,0,0,1.39542190947057e-07,4.76876977612302e-07,NA,3.96989215474893,0.072886393125647,0.000123772358260089,1.39542190947057e-07,89.2219497864622,99.7047020431594,99.8711565483706,99.8784636254067,100,NA,NA,NA
129,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,1,1,100,30,30,100,100,3000,0,0,0,10000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.6488136297632,100,1,0,0,1.79826650183008e-06,5.67263186570688e-06,NA,1.24336780769904,0.00377517810412035,5.91226087294623e-06,1.79826650183008e-06,93.7068395068296,99.7666323148694,99.8704446472966,99.6488136297632,100,NA,NA,NA
130,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.8185326377511,100,1,0,0,4.08030622236495e-09,1.32887917906465e-08,NA,1.04643377171488,0.00277382589226967,3.37683048271391e-06,4.08030622236495e-09,95.317581204074,99.8164962701637,99.8668160805343,99.8185326377511,100,NA,NA,NA
131,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.38579299836674e-10,1.65010622899517e-09,NA,1,1,99.9330844882194,100,1,81.6271749643197,99.926286039674,99.9330820581564,99.9330844882194,4.04351987207266,0.00465423117725324,1.05389570718832e-06,2.38579299836674e-10,9.26460218171857e-13,NA,NA,NA
132,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.99511349152882e-09,2.07153572524157e-08,NA,0.75,0.75,99.9330844804812,100,1,64.083731910504,99.8417831297179,99.9330596323264,99.9330844804812,23.6731622421455,0.0573484580275162,1.32305557045686e-05,2.99511349152882e-09,1.16307387138739e-11,NA,NA,NA
133,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.7922991874642,100,1,0,0,5.30441520936453e-06,1.60062630469115e-05,NA,11.6748166092523,1.10861486182993,0.00264230054574901,5.30441520936453e-06,90.3456175350229,99.054907901882,99.7890963829664,99.7922991874642,100,NA,NA,NA
134,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,5,5,100,30,30,100,500,3000,0,0,0,50000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.8761792874631,100,1,0,0,1.53163522300928e-06,5.15401588272874e-06,NA,5.15696587927988,0.157422945989173,0.000719740573109189,1.53163522300928e-06,93.868722671607,99.6952894629712,99.8724997003328,99.8761792874631,100,NA,NA,NA
135,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,5,5,100,45,45,100,500,4500,0,0,0,50000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.8779548126399,100,1,0,0,3.09014600677635e-08,1.08115159346756e-07,NA,4.02987299883827,0.0122880104357929,2.86868766341708e-05,3.09014600677635e-08,95.7010951091937,99.7317252030685,99.8736125051355,99.8779548126399,100,NA,NA,NA
136,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,15,15,100,1,1,100,1500,100,0,0,0,150000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,8.53883589807127e-11,5.90578743142375e-10,NA,1,1,99.9330844887318,100,1,89.6880844063069,99.9307581744922,99.9330836191988,99.9330844887318,2.97054093890865,0.0016660929443286,3.77192953273207e-07,8.53883589807127e-11,3.31583325730821e-13,NA,NA,NA
137,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,15,15,100,5,5,100,1500,500,0,0,0,150000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,4.66698368330267e-10,3.2278654735489e-09,NA,1,1,99.9330844876725,100,1,83.1771446426241,99.9235587363138,99.9330805594072,99.9330844876725,12.5015911466842,0.00910628326324132,2.06158468921568e-06,4.66698368330267e-10,1.81230086785057e-12,NA,NA,NA
138,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,15,15,100,15,15,100,1500,1500,0,0,0,150000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.24753337818791e-09,2.2461190304997e-08,NA,0.75,0.75,99.9330844805013,100,1,66.5942938152515,99.8640621957245,99.9330603619255,99.9330844805013,37.9603053637347,0.0628583336971951,1.43455915516362e-05,3.24753337818791e-09,1.26109452256521e-11,NA,NA,NA
139,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,15,15,100,30,30,100,1500,3000,0,0,0,150000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.8576512049986,100,1,0,0,2.84814415133683e-06,9.73633635261006e-06,NA,19.3480120167185,1.29049309145452,0.00230447946497108,2.84814415133683e-06,92.5444440119224,98.0592867014898,99.8523458203919,99.8576512049986,100,NA,NA,NA
140,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,15,15,100,45,45,100,1500,4500,0,0,0,150000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",1,1,99.8772723397418,100,1,0,0,8.76122364548348e-06,2.9704817155832e-05,NA,10.628291356528,0.0486519450241076,0.00480753722715726,8.76122364548348e-06,95.6524217851229,99.5134435236668,99.7573164631294,99.8772723397418,100,NA,NA,NA
141,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,30,30,100,1,1,100,3000,100,0,0,0,300000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.86525848228406e-11,2.67336147881953e-10,NA,1,1,99.9330844888767,100,1,93.1382091697682,99.931863234966,99.9330840516366,99.9330844888767,1.62774210218783,0.000754203383515801,1.70743212934702e-07,3.86525848228406e-11,1.50097188617227e-13,NA,NA,NA
142,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,30,30,100,5,5,100,3000,500,0,0,0,300000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.54754616502238e-10,1.07034246822922e-09,NA,1,1,99.9330844885967,100,1,91.3604653471958,99.9302646254605,99.9330832828085,99.9330844885967,6.02337390339412,0.00301965723205085,6.83610176819491e-07,1.54754616502238e-10,6.00949017226687e-13,NA,NA,NA
143,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,5.75592291352732e-10,3.981017741177e-09,NA,1,1,99.9330844874495,100,1,84.6948306173195,99.9226447960994,99.9330799894549,99.9330844874495,18.5649154489054,0.011230803211612,2.542610681601e-06,5.75592291352732e-10,2.23516189456658e-12,NA,NA,NA
144,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.03577951087637e-09,2.09966190880034e-08,NA,1,1,99.9330844814032,100,1,70.7764927201491,99.8800781518077,99.9330632593273,99.9330844814032,40.9400844033412,0.0590972889602032,1.34101946149354e-05,3.03577951087637e-09,1.17886545480087e-11,NA,NA,NA
145,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0.25,0.5,8.10893963598911e-05,0.000560845772971167,NA,0.5,0.5,99.9329803634927,100,1,31.1838882322444,61.0353568074116,99.6130013043097,99.9329803634927,88.6752213267607,64.3743933529275,0.345867055155605,8.10893963598911e-05,3.14889603137323e-07,NA,NA,NA
146,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.71300487043092e-11,1.18478007476807e-10,NA,1,1,99.9330844889456,100,1,95.1044084207559,99.9324055734796,99.9330842594459,99.9330844889456,0.761473814019369,0.00033426356087163,7.56699600814718e-08,1.71300487043092e-11,6.65200571495177e-14,NA,NA,NA
147,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,9.03919058893039e-11,6.2518519863375e-10,NA,1,1,99.933084488747,100,1,93.57683039482,99.9310826268438,99.9330836900612,99.933084488747,3.68582800662911,0.00176379293549346,3.99295529184392e-07,9.03919058893039e-11,3.51013289536378e-13,NA,NA,NA
148,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,5.28527784134479e-10,3.65550150158795e-09,NA,1,1,99.9330844876046,100,1,87.2844292270064,99.9238736414422,99.9330804602049,99.9330844876046,17.7580820883341,0.010312558829589,2.33470879614974e-06,5.28527784134479e-10,2.05239920871707e-12,NA,NA,NA
149,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.36379827789558e-09,9.43255359967878e-09,NA,1,1,99.9330844855991,100,1,81.5902274449963,99.9125722191777,99.9330749605849,99.9330844855991,33.0980472129099,0.0266093788664631,6.02441694153644e-06,1.36379827789558e-09,5.29595338307255e-12,NA,NA,NA
150,100,100,5,5,"rectangle",10000,"large",1,1,150,4,6,1.5,4,45,45,100,45,45,100,4500,4500,0,0,0,450000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,4.38042039223777e-09,3.02966727634118e-08,NA,0.75,0.75,99.9330844780278,100,1,68.5862298499586,99.8471413389891,99.9330538451402,99.9330844780278,43.5859145271928,0.0847007092973066,1.93499845439324e-05,4.38042039223777e-09,1.7010215200121e-11,NA,NA,NA
151,100,100,5,5,"rectangle",10000,"large",1,1,150,4,7,1.75,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.5743946003479e-08,2.4437059121891e-07,NA,0.75,0.75,99.9330844235947,100,1,49.7789365952817,98.9117709738258,99.9328997446786,99.9330844235947,19.2288485346563,0.302234537720506,0.000109149500775743,3.5743946003479e-08,1.44420477999222e-10,NA,NA,NA
152,100,100,5,5,"rectangle",10000,"large",1,1,150,4,7,1.75,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.32059906046832e-06,1.58652397645152e-05,NA,0.75,0.75,99.9330780386379,100,1,29.1923026245124,84.0106811413847,99.8944177523415,99.9330780386379,40.1738375344418,11.349005164333,0.00707763301570756,2.32059906046832e-06,9.37619170388023e-09,NA,NA,NA
